CUENTA_CREDITO|SITUACION_CREDITO|SALDO_PRINCIPAL|INTERES_DEVENGADO|INTERESES_COBRADOS|COMISIONES_COBRADAS|SALDO_PROMEDIO|RESERVAS_CALIF|RESERVAS_ADIC|PORC_RESERVAS_417|MONEDA|FECHA_INFO
|1|12940698.82|11035391.09|10855838.99|0.00|431356.63||||0|2026-01-31
|1|609648.23|924911.83|917545.23|0.00|20321.61||||0|2026-01-31
|1|576270.90|797364.84|790675.24|0.00|19209.03||||0|2026-01-31
|1|831482.69|1257261.92|1247214.88|0.00|27716.09||||0|2026-01-31
|1|15109892.50|575363.82|363988.14|0.00|487415.89||||0|2026-01-31
|3|12926661.16|5178069.94|4842055.27|0.00|430888.71||||0|2026-01-31
|1|278671.86|425825.27|405251.20|0.00|9289.06||||0|2026-01-31
|1|1027202.16|834298.02|820430.44|0.00|34240.07||||0|2026-01-31
|1|589318.02|617312.54|608833.59|0.00|19010.26||||0|2026-01-31
|1|264289.06|1089123.41|1050209.38|0.00|8809.64||||0|2026-01-31
|2|2202761.11|1601443.06|1557997.99|0.00|71056.81||||0|2026-01-31
|1|50181.02|433628.14|415483.60|0.00|1672.70||||0|2026-01-31
|1|2645955.56|1703999.12|1671751.53|0.00|88198.52||||0|2026-01-31
|1|931974.08|1265153.19|1254334.64|0.00|31065.80||||0|2026-01-31
|1|729095.73|969832.98|962309.18|0.00|24303.19||||0|2026-01-31
|1|2481371.31|96842.01|74528.37|0.00|82712.38||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|514494.46|785794.12|779577.22|0.00|17149.82||||0|2026-01-31
|3|933289.62|479719.03|479719.03|0.00|31109.65||||0|2026-01-31
|1|1967729.01|2274855.24|2254194.07|0.00|63475.13||||0|2026-01-31
|3|4043828.05|695713.22|435136.03|0.00|134794.27||||0|2026-01-31
|3|960422.71|277070.75|218194.91|0.00|32014.09||||0|2026-01-31
|1|229066.27|363320.05|346320.15|0.00|7635.54||||0|2026-01-31
|1|346791.32|366996.30|363759.52|0.00|11186.82||||0|2026-01-31
|1|701409.95|654823.14|644730.76|0.00|22626.13||||0|2026-01-31
|1|1404649.45|973215.75|954463.74|0.00|46821.65||||0|2026-01-31
|1|96017.07|63573.47|62248.53|0.00|3200.57||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|69404604.00|4493781.23|4227442.46|0.00|2238858.19||||0|2026-01-31
|0|63775.84|53828.05|52680.01|0.00|2125.86||||0|2026-01-31
|1|137188.04|89290.05|87448.28|0.00|4572.93||||0|2026-01-31
|1|721068.33|503283.18|492737.41|804.48|24035.61||||0|2026-01-31
|1|8372093.00|2664117.99|2618296.28|0.00|270067.52||||0|2026-01-31
|1|271220.76|183801.49|180384.34|0.00|9040.69||||0|2026-01-31
|1|350433.83|261417.80|256686.99|0.00|11681.13||||0|2026-01-31
|1|461309.62|2308733.24|2306793.93|0.00|14880.96||||0|2026-01-31
|1|27592138.87|1838229.00|1727330.44|0.00|890069.00||||0|2026-01-31
|1|16163560.00|163329.66|114323.65|0.00|521405.16||||0|2026-01-31
|1|8689713.96|1179776.24|1144573.29|0.00|280313.35||||0|2026-01-31
|2|416852.11|574012.00|567699.82|0.00|13895.07||||0|2026-01-31
|1|2477219.91|2158089.38|2122789.29|0.00|82574.00||||0|2026-01-31
|1|525084.31|386014.81|377527.98|0.00|17502.81||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|856580.26|1267701.64|1257374.71|0.00|27631.62||||0|2026-01-31
|1|646791.15|777987.27|770612.15|0.00|20864.23||||0|2026-01-31
|1|2775086.86|1779013.59|1749250.43|0.00|92502.90||||0|2026-01-31
|3|3086570.82|30047.90|30047.90|0.00|102885.69||||0|2026-01-31
|1|11141177.69|2567769.84|2515535.21|0.00|359392.83||||0|2026-01-31
|1|687329.39|651614.76|642335.76|0.00|22910.98||||0|2026-01-31
|3|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|302382.63|603377.56|575086.18|0.00|10079.42||||0|2026-01-31
|1|126453.09|1249898.38|1249898.38|0.00|4215.10||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|5285401.35|4232809.45|4159474.45|0.00|176180.05||||0|2026-01-31
|1|1129751.40|1363870.94|1363870.94|0.00|36443.59||||0|2026-01-31
|2|1088661.24|1120053.22|1095456.97|0.00|35118.10||||0|2026-01-31
|1|365295.35|572756.97|569022.53|0.00|12176.51||||0|2026-01-31
|1|12492319.07|876341.56|828427.36|0.00|402978.03||||0|2026-01-31
|1|599791.72|644117.80|638807.85|0.00|19993.06||||0|2026-01-31
|1|12463378.56|677266.79|491250.86|0.00|415445.95||||0|2026-01-31
|3|5887267.38|54457.32|10302.72|0.00|196242.25||||0|2026-01-31
|1|830538.25|1365936.69|1355209.08|0.00|26791.56||||0|2026-01-31
|3|2416968.19|0.00|0.00|0.00|80565.61||||0|2026-01-31
|3|9885979.91|108101.14|108101.14|0.00|329532.66||||0|2026-01-31
|1|115065.87|100747.71|99091.93|0.00|3711.80||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|954589.07|57231.08|51388.96|0.00|31819.64||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|1605098.78|1638514.61|1652285.43|0.00|51777.38||||0|2026-01-31
|1|882955.20|310251.09|297072.82|0.00|29431.84||||0|2026-01-31
|1|37685716.11|12457336.71|11875713.91|0.00|1215668.26||||0|2026-01-31
|3|10109894.52|3888707.99|3733408.79|0.00|336996.48||||0|2026-01-31
|3|0.00|86352.67|86352.68|0.00|0.00||||0|2026-01-31
|1|2500957.66|3492777.32|3307323.01|0.00|80676.05||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|1493409.09|85251.66|62962.54|0.00|49780.30||||0|2026-01-31
|1|1122541.01|1170553.67|1089331.87|0.00|36211.00||||0|2026-01-31
|1|0.00|34794.06|34794.07|0.00|0.00||||0|2026-01-31
|1|3179648.34|1776434.68|1742333.15|0.00|105988.28||||0|2026-01-31
|1|1273901.89|730061.87|712720.61|0.00|42463.40||||0|2026-01-31
|1|557336.66|453052.16|444901.16|0.00|18577.89||||0|2026-01-31
|1|2606329.36|2663559.65|2625044.01|0.00|84075.14||||0|2026-01-31
|0|95426.98|73522.11|71804.27|0.00|3180.90||||0|2026-01-31
|3|5918795.46|3172091.05|2843252.06|0.00|197293.18||||0|2026-01-31
|0|70209.00|4112.10|3270.10|0.00|2340.30||||0|2026-01-31
|1|47148171.08|1983899.83|1800390.67|0.00|1520908.74||||0|2026-01-31
|1|1538989.12|1203286.28|1179047.33|0.00|51299.64||||0|2026-01-31
|1|108463.17|71949.17|70171.89|0.00|3615.44||||0|2026-01-31
|1|859473.70|924274.76|917545.38|0.00|28649.12||||0|2026-01-31
|1|1762255.59|388894.36|362592.44|0.00|58741.85||||0|2026-01-31
|1|4133978.39|3634042.35|3584526.75|0.00|133354.14||||0|2026-01-31
|1|710150.82|1297992.97|1253602.46|0.00|23671.69||||0|2026-01-31
|1|373758.04|645121.27|640033.93|0.00|12056.71||||0|2026-01-31
|1|28540478.05|2828700.13|2727841.59|0.00|920660.58||||0|2026-01-31
|1|16588494.00|174328.73|108063.46|0.00|535112.71||||0|2026-01-31
|2|13011811.26|4653213.62|4653213.62|17757.79|433727.04||||0|2026-01-31
|1|1604554.25|1846105.05|1827510.32|0.00|51759.81||||0|2026-01-31
|1|391701.36|803969.65|799003.28|0.00|13056.71||||0|2026-01-31
|1|1445878.55|120299.32|100237.78|0.00|48195.95||||0|2026-01-31
|1|17000000.00|131124.20|71051.39|0.00|548387.10||||0|2026-01-31
|1|566688.38|992317.71|985470.96|0.00|18889.61||||0|2026-01-31
|1|1620757.52|987844.86|963351.31|0.00|54025.25||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|409550.71|791046.66|762094.84|0.00|13651.69||||0|2026-01-31
|1|216484.92|447114.38|443045.48|0.00|7216.16||||0|2026-01-31
|1|148120.32|110774.16|108524.41|0.00|4937.34||||0|2026-01-31
|1|6246555.78|6285396.44|6177643.30|804.48|208218.53||||0|2026-01-31
|1|371263.84|694816.46|649337.69|0.00|11976.25||||0|2026-01-31
|1|283357.89|379860.82|352464.60|0.00|9140.58||||0|2026-01-31
|1|940302.86|779301.73|766254.82|0.00|31343.43||||0|2026-01-31
|3|2816766.64|1289361.95|1108646.48|0.00|93892.22||||0|2026-01-31
|1|303635.77|679744.67|674620.78|0.00|10121.19||||0|2026-01-31
|1|12979435.73|4945178.89|4725664.40|0.00|432647.86||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|3|1281540.12|1242206.98|1131035.27|0.00|42718.00||||0|2026-01-31
|1|444252.84|743032.79|738498.31|0.00|14808.43||||0|2026-01-31
|1|247426.67|168789.42|165356.49|0.00|8247.56||||0|2026-01-31
|1|2144579.30|3195459.59|3144871.44|0.00|69179.98||||0|2026-01-31
|1|427862.95|360426.69|355667.25|0.00|13802.03||||0|2026-01-31
|1|12500000.00|197888.00|4666.11|0.00|403225.81||||0|2026-01-31
|2|334712.81|259989.57|250451.88|1604.51|11157.09||||0|2026-01-31
|1|1395321.85|666154.67|648677.94|0.00|46510.73||||0|2026-01-31
|1|1295044.91|214167.22|194838.66|0.00|43168.16||||0|2026-01-31
|3|1712739.90|13068.69|13068.69|0.00|57091.33||||0|2026-01-31
|3|36239083.18|6736772.62|6736771.96|0.00|1169002.68||||0|2026-01-31
|1|137834.62|193562.51|190900.05|0.00|4594.49||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|3|22156022.60|469697.94|469697.94|0.00|738534.09||||0|2026-01-31
|0|526046.73|83638.16|74447.98|0.00|17534.89||||0|2026-01-31
|1|12500000.00|197888.00|4666.11|0.00|403225.81||||0|2026-01-31
|1|15713555.56|3717148.71|3655890.99|0.00|506888.89||||0|2026-01-31
|1|384014.32|322499.04|317170.87|0.00|12800.48||||0|2026-01-31
|2|2619379.20|102161.40|102161.40|0.00|87312.64||||0|2026-01-31
|1|5081556.71|3160914.45|3098411.91|0.00|169385.22||||0|2026-01-31
|1|447605.62|461438.04|455171.67|0.00|14438.89||||0|2026-01-31
|1|33701.08|147955.32|147487.49|0.00|1123.37||||0|2026-01-31
|1|1470962.47|821064.47|804846.83|0.00|49032.08||||0|2026-01-31
|1|547680.06|626606.05|620514.94|0.00|17667.10||||0|2026-01-31
|1|1086359.55|850905.21|834406.41|804.48|36211.99||||0|2026-01-31
|1|112440.48|98043.96|96357.32|0.00|3748.02||||0|2026-01-31
|1|201268.02|664766.80|661949.19|0.00|6492.52||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|3|332990.64|123646.95|97478.10|0.00|10741.63||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|0|7244.36|4613.43|4482.86|0.00|241.48||||0|2026-01-31
|1|668461.89|1087760.67|1080711.66|0.00|22282.06||||0|2026-01-31
|1|37785740.51|3349213.68|3215344.96|0.00|1218894.86||||0|2026-01-31
|1|1278908.63|1197531.59|1178135.11|0.00|41255.12||||0|2026-01-31
|1|3194432.80|3506586.51|3237582.22|0.00|103046.22||||0|2026-01-31
|1|80616.06|235451.86|234255.07|0.00|2687.20||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|7790250.00|77950.73|48735.80|0.00|251298.39||||0|2026-01-31
|1|1568793.35|1346075.48|1320004.23|0.00|52293.11||||0|2026-01-31
